course_title,domain,sub_domain,level,duration,paid_free,price,mentor,url
Biology Meets Programming: Bioinformatics for Beginners,Life Sciences,Bioinformatics,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/bioinformatics
Python for Genomic Data Science,Life Sciences,Bioinformatics,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/python-genomics
Fundamental Skills in Bioinformatics,Life Sciences,Bioinformatics,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/fundamental-skills-in-bioinformatics
Applied Bioinformatics,Life Sciences,Bioinformatics,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/specializations/applied-bioinformatics
Bacterial Bioinformatics,Life Sciences,Bioinformatics,Intermediate,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/informatics
Bioinformatics Methods for Transcriptomics,Life Sciences,Bioinformatics,Intermediate,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/bioinformatics-methods-for-transcriptomics
Bioinformatics: Introduction and Methods çç©ä¿¡æ¯å­¦: å¯¼è®ºä¸æ¹æ³,Life Sciences,Bioinformatics,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/learn/bioinformatics-pku
Pharmacokinetics,Life Sciences,Pharmacology,Intermediate,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/pharmacokinetics
Synaptic Pharmacology,Life Sciences,Pharmacology,Intermediate,3,Free,0,Coursera Instructor,https://www.coursera.org/specializations/synaptic-pharmacology
Pharmacy Dosages and Prescriptions Essentials,Life Sciences,Pharmacology,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/pharmacy-dosages-and-prescriptions-essentials
Depressive and Bipolar Disorders,Life Sciences,Pharmacology,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/depressive-and-bipolar-disorders
Drug Development and Pharmacoepidemiology,Life Sciences,Pharmacology,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/drug-development-and-pharmacoepidemiology
Drug Hunting: The Science of Making New Medicines,Life Sciences,Pharmacology,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/drug-hunting-discovery-and-development
Pillar #4: Drug Safety - Pharmacovigilance,Life Sciences,Pharmacology,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/drug-safety-pharmacovigilance
Fundamentals of Immunology,Life Sciences,Pharmacology,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/immunology
Drug Commercialization,Life Sciences,Pharmacology,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/drug-commercialization
Machine Learning by Stanford,Data Science,Machine Learning,Mixed,2,Free,0,Andrew Ng,https://www.coursera.org/learn/machine-learning
Deep Learning Specialization,Data Science,Deep Learning,Intermediate,4,Paid,49,Andrew Ng,https://www.coursera.org/specializations/deep-learning
IBM Data Science Professional,Data Science,Data Analysis,Beginner,10,Paid,49,IBM,https://www.coursera.org/professional-certificates/ibm-data-science
Natural Language Processing Specialization,Data Science,NLP,Intermediate,4,Paid,49,Deeplearning.AI,https://www.coursera.org/specializations/natural-language-processing
Computer Vision Basics,Data Science,Computer Vision,Beginner,1,Free,0,University at Buffalo,https://www.coursera.org/learn/computer-vision-basics
Statistics with Python Specialization,Data Science,Statistics,Beginner,5,Paid,49,University of Michigan,https://www.coursera.org/specializations/statistics-with-python
Reinforcement Learning Specialization,Data Science,Machine Learning,Advanced,4,Paid,49,University of Alberta,https://www.coursera.org/specializations/reinforcement-learning
Data Engineering Professional Certificate,Data Science,Data Analysis,Intermediate,6,Paid,49,IBM,https://www.coursera.org/professional-certificates/ibm-data-engineer
Bayesian Statistics,Data Science,Statistics,Advanced,4,Free,0,Duke University,https://www.coursera.org/learn/bayesian
Algorithms Specialization,Computer Science,Algorithms,Mixed,4,Paid,49,Tim Roughgarden,https://www.coursera.org/specializations/algorithms
Full Stack Web Development,Computer Science,Web Development,Mixed,6,Paid,49,The Hong Kong University,https://www.coursera.org/specializations/full-stack
Cybersecurity Specialization,Computer Science,Cybersecurity,Beginner,5,Paid,49,University of Maryland,https://www.coursera.org/specializations/cyber-security
Database Management Essentials,Computer Science,Databases,Beginner,2,Paid,49,University of Colorado,https://www.coursera.org/learn/database-management
iOS App Development with Swift,Computer Science,Mobile Development,Beginner,4,Paid,49,University of Toronto,https://www.coursera.org/specializations/swift-5-ios-app-developer
DevOps on AWS Specialization,Computer Science,DevOps,Intermediate,3,Paid,49,Amazon Web Services,https://www.coursera.org/specializations/aws-devops
Business Foundations Specialization,Business,Strategy,Beginner,6,Paid,49,Wharton School,https://www.coursera.org/specializations/wharton-business-foundations
